Code,Descriptor,Year Level,Learning Area,Subject,Strand,Sub-strand,Category,Linked Achievement IDs
AC9M6P01,"recognise that probabilities lie on numerical scales of 0–1 or 0%–100% and use estimation to assign probabilities that events occur in a given context, using common fractions, percentages and decimals",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-02
AC9M6P02,conduct repeated chance experiments and run simulations with an increasing number of trials using digital tools; compare observations with expected results and discuss the effect on variation of increasing the number of trials,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,"Y6-AS-04, Y6-AS-05"
AC9M6SP01,compare the parallel cross-sections of objects and recognise their relationships to right prisms,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-11
AC9M6SP02,locate points in the 4 quadrants of a Cartesian plane; describe changes to the coordinates when a point is moved to a different position in the plane,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,"Y6-AS-01, Y6-AS-13"
AC9M6SP03,"recognise and use combinations of transformations to create tessellations and other geometric patterns, using dynamic geometric software where appropriate",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-08
AC9M6ST01,"interpret and compare data sets for ordinal and nominal categorical, discrete and continuous numerical variables using comparative displays or visualisations and digital tools; compare distributions in terms of mode, range and shape",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-03
AC9M6ST02,"identify statistically informed arguments presented in traditional and digital media; discuss and critique methods, data representations and conclusions",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-09
AC9M6ST03,plan and conduct statistical investigations by posing and refining questions or identifying a problem and collecting relevant data; analyse and interpret the data and communicate findings within the context of the investigation,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-03
AC9MFA01,"recognise, copy and continue repeating patterns represented in different ways",Foundation,Mathematics,Mathematics,Measurement and Geometry,,,P-AS-04
AC9MFM01,"identify and compare attributes of objects and events, including length, capacity, mass and duration, using direct comparisons and communicating reasoning",Foundation,Mathematics,Mathematics,Measurement and Geometry,,,P-AS-06
AC9MFM02,"sequence days of the week and times of the day including morning, lunchtime, afternoon and night time, and connect them to familiar events and actions",Foundation,Mathematics,Mathematics,Measurement and Geometry,,,P-AS-10
AC9MFN01,"name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals",Foundation,Mathematics,Mathematics,Number and Algebra,,,P-AS-01
AC9MFN02,recognise and name the number of objects within a collection up to 5 using subitising,Foundation,Mathematics,Mathematics,Number and Algebra,,,"P-AS-08, P-AS-11"
AC9MFN03,quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,Foundation,Mathematics,Mathematics,Number and Algebra,,,"P-AS-02, P-AS-03, P-AS-09, P-AS-11"
AC9MFN04,partition and combine collections up to 10 using part-part-whole relationships and subitising to recognise and name the parts,Foundation,Mathematics,Mathematics,Number and Algebra,,,"P-AS-08, P-AS-11"
AC9MFN05,"represent practical situations involving addition, subtraction and quantification with physical and virtual materials and use counting or subitising strategies",Foundation,Mathematics,Mathematics,Number and Algebra,,,"P-AS-09, P-AS-11"
AC9MFN06,represent practical situations that involve equal sharing and grouping with physical and virtual materials and use counting or subitising strategies,Foundation,Mathematics,Mathematics,Number and Algebra,,,P-AS-09
AC9MFSP01,"sort, name and create familiar shapes; recognise and describe familiar shapes within objects in the environment, giving reasons",Foundation,Mathematics,Mathematics,Measurement and Geometry,,,P-AS-07
